epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,271.161,0,46.9225,0,0,0,0,0,0,834.655,0,0.000659259,0.000659259,0.000659259
2,568.069,0,31.3557,0,0,0,0,0,0,57.9661,0,0.00129967,0.00129967,0.00129967
3,876.381,0,22.9941,0,0,0,0,0,0,27.1575,0,0.00191369,0.00191369,0.00191369
4,1154.66,0,15.2328,0,0,0,0,0,0,21.2004,0,0.0018812,0.0018812,0.0018812
5,1498.39,0,9.39355,0,0,0,0,0,0,13.7865,0,0.0018416,0.0018416,0.0018416
6,1855.91,0,5.35922,0,0,0,0,0,0,7.24024,0,0.001802,0.001802,0.001802
7,2280.2,0,2.86368,0,0,0,0,0,0,3.71212,0,0.0017624,0.0017624,0.0017624
8,2616.62,0,1.5151,0,0,0,0,0,0,2.10095,0,0.0017228,0.0017228,0.0017228
9,2961.19,0,0.74957,0,0,0,0,0,0,0.98016,0,0.0016832,0.0016832,0.0016832
10,3300.84,0,0.3552,0,0,0,0,0,0,5.43626,0,0.0016436,0.0016436,0.0016436
11,3664.46,0,0.16178,0,0,0,0,0,0,4.23269,0,0.001604,0.001604,0.001604
12,4031.28,0,0.07223,0,0,0,0,0,0,8.314,0,0.0015644,0.0015644,0.0015644
13,4393.73,0,0.03122,0,0,0,0,0,0,257.37,0,0.0015248,0.0015248,0.0015248
14,4759.48,0,0.01346,0,0,0,0,0,0,3.36936,0,0.0014852,0.0014852,0.0014852
15,5114.71,0,0.01108,0,0,0,0,0,0,0.01924,0,0.0014456,0.0014456,0.0014456
16,5450.84,0,0.00672,0,0,0,0,0,0,0.0072,0,0.001406,0.001406,0.001406
17,5818.97,0,0.00322,0,0,0,0,0,0,0.02389,0,0.0013664,0.0013664,0.0013664
18,6182.19,0,0.00296,0,0,0,0,0,0,0.08613,0,0.0013268,0.0013268,0.0013268
19,6543.07,0,0.00257,0,0,0,0,0,0,0.35676,0,0.0012872,0.0012872,0.0012872
20,6917.14,0,0.00197,0,0,0,0,0,0,0.38802,0,0.0012476,0.0012476,0.0012476
21,7279.38,0,0.00163,0,0,0,0,0,0,0.45848,0,0.001208,0.001208,0.001208
22,7640.18,0,0.00155,0,0,0,0,0,0,1.41271,0,0.0011684,0.0011684,0.0011684
